s[T,D,AA->AB,180(203),32,3,16,647a[AA]
s[T,D,AA->AB,100(123),0,0,16,7377,8403]
s[R,A,AB->AA,0(9),0,0,0,0,8484]
s[T,D,AA->AB,100(123),1,4,16,8506,9536]
s[R,A,AB->AA,0(9),1,0,0,0,9617]
s[T,D,AA->AB,100(123),2,5,16,9639,10670]
s[R,A,AB->AA,0(9),2,0,0,0,10751]
s[T,D,AA->AB,100(123),3,5,16,10774,11806]
s[R,A,AB->AA,0(9),3,0,0,0,11887]
s[T,D,AA->AB,100(123),4,4,16,11909,12940]
s[R,A,AB->AA,0(9),4,0,0,0,13021]
s[T,D,AA->AB,100(123),5,12,16,13044,14082]
s[R,A,AB->AA,0(9),5,0,0,0,14163]
s[T,D,AA->AB,100(123),6,7,16,14187,15220]
s[R,A,AB->AA,0(9),6,0,0,0,15301]
s[T,D,AA->AB,100(123),7,1,16,15325,16353]
s[R,A,AB->AA,0(9),7,0,0,0,16434]
s[T,D,AA->AB,100(123),8,11,16,16460,17497]
s[R,A,AB->AA,0(9),8,0,0,0,17578]
s[T,D,AA->AB,100(123),9,7,16,17601,18634]
s[R,A,AB->AA,0(9),9,0,0,0,18715]
s[T,D,AA->AB,100(123),10,10,16,18739,19776]
s[R,A,AB->AA,0(9),10,0,0,0,19857]
s[T,D,AA->AB,100(123),11,1,16,19881,20909]
s[R,A,AB->AA,0(9),11,0,0,0,20990]
s[T,D,AA->AB,100(123),12,2,16,21017,22045]
s[R,A,AB->AA,0(9),12,0,0,0,22126]
s[T,D,AA->AB,100(123),13,5,16,22150,23181]
s[R,A,AB->AA,0(9),13,0,0,0,23262]
s[T,D,AA->AB,100(123),14,15,16,23288,24329]
s[R,A,AB->AA,0(9),14,0,0,0,24410]
s[T,D,AA->AB,100(123),15,14,16,24434,25474]
s[R,A,AB->AA,0(9),15,0,0,0,25555]
s[T,D,AA->AB,100(123),16,12,16,25580,26618]
s[R,A,AB->AA,0(9),16,0,0,0,26699]
s[T,D,AA->AB,100(123),17,1,16,26722,27749]
s[R,A,AB->AA,0(9),17,0,0,0,27830]
s[T,D,AA->AB,100(123),18,4,16,27856,28886]
s[R,A,AB->AA,0(9),18,0,0,0,28967]
s[T,D,AA->AB,100(123),19,0,16,28989,30015]
s[R,A,AB->AA,0(9),19,0,0,0,30096]
s[T,D,AA->AB,100(123),20,12,16,30120,31158]
s[R,A,AB->AA,0(9),20,0,0,0,31239]
s[T,D,AA->AB,100(123),21,7,16,31262,32295]
s[R,A,AB->AA,0(9),21,0,0,0,32376]
s[T,D,AA->AB,100(123),22,5,16,32399,33431]
s[R,A,AB->AA,0(9),22,0,0,0,33512]
s[T,D,AA->AB,100(123),23,14,16,33537,34578]
s[R,A,AB->AA,0(9),23,0,0,0,34659]
s[T,D,AA->AB,100(123),24,6,16,34684,35716]
s[R,A,AB->AA,0(9),24,0,0,0,35797]
s[T,D,AA->AB,100(123),25,15,16,35822,36863]
s[R,A,AB->AA,0(9),25,0,0,0,36944]
s[T,D,AA->AB,100(123),26,9,16,36968,38004]
s[R,A,AB->AA,0(9),26,0,0,0,38085]
s[T,D,AA->AB,100(123),27,5,16,38110,39142]
s[R,A,AB->AA,0(9),27,0,0,0,39223]
s[T,D,AA->AB,100(123),28,12,16,39249,40287]
s[R,A,AB->AA,0(9),28,0,0,0,40368]
s[T,D,AA->AB,100(123),29,14,16,40391,41432]
s[R,A,AB->AA,0(9),29,0,0,0,41513]
