s[T,D,AA->AB,100(123),51,15,16,a[AA]
s[T,D,AA->AB,1(10),0,1,16,7363,7477]
s[R,A,AB->AA,0(9),0,0,0,0,7558]
s[T,D,AA->AB,1(10),1,4,16,7572,7689]
s[R,A,AB->AA,0(9),1,0,0,0,7770]
s[T,D,AA->AB,1(10),2,12,16,7784,7909]
s[R,A,AB->AA,0(9),2,0,0,0,7990]
s[T,D,AA->AB,1(10),3,3,16,8004,8120]
s[R,A,AB->AA,0(9),3,0,0,0,8201]
s[T,D,AA->AB,1(10),4,0,16,8215,8328]
s[R,A,AB->AA,0(9),4,0,0,0,8409]
s[T,D,AA->AB,1(10),5,15,16,8423,8551]
s[R,A,AB->AA,0(9),5,0,0,0,8632]
s[T,D,AA->AB,1(10),6,7,16,8647,8767]
s[R,A,AB->AA,0(9),6,0,0,0,8848]
s[T,D,AA->AB,1(10),7,6,16,8863,8982]
s[R,A,AB->AA,0(9),7,0,0,0,9063]
s[T,D,AA->AB,1(10),8,14,16,9079,9206]
s[R,A,AB->AA,0(9),8,0,0,0,9287]
s[T,D,AA->AB,1(10),9,9,16,9302,9424]
s[R,A,AB->AA,0(9),9,0,0,0,9505]
s[T,D,AA->AB,1(10),10,4,16,9518,9635]
s[R,A,AB->AA,0(9),10,0,0,0,9716]
s[T,D,AA->AB,1(10),11,8,16,9730,9851]
s[R,A,AB->AA,0(9),11,0,0,0,9932]
s[T,D,AA->AB,1(10),12,10,16,9946,10069]
s[R,A,AB->AA,0(9),12,0,0,0,10150]
s[T,D,AA->AB,1(10),13,10,16,10166,10289]
s[R,A,AB->AA,0(9),13,0,0,0,10370]
s[T,D,AA->AB,1(10),14,12,16,10385,10511]
s[R,A,AB->AA,0(9),14,0,0,0,10592]
s[T,D,AA->AB,1(10),15,5,16,10605,10723]
s[R,A,AB->AA,0(9),15,0,0,0,10804]
s[T,D,AA->AB,1(10),16,9,16,10816,10938]
s[R,A,AB->AA,0(9),16,0,0,0,11019]
s[T,D,AA->AB,1(10),17,11,16,11032,11156]
s[R,A,AB->AA,0(9),17,0,0,0,11237]
s[T,D,AA->AB,1(10),18,3,16,11253,11369]
s[R,A,AB->AA,0(9),18,0,0,0,11450]
s[T,D,AA->AB,1(10),19,11,16,11465,11589]
s[R,A,AB->AA,0(9),19,0,0,0,11670]
s[T,D,AA->AB,1(10),20,9,16,11685,11807]
s[R,A,AB->AA,0(9),20,0,0,0,11888]
s[T,D,AA->AB,1(10),21,5,16,11904,12022]
s[R,A,AB->AA,0(9),21,0,0,0,12103]
s[T,D,AA->AB,1(10),22,12,16,12116,12241]
s[R,A,AB->AA,0(9),22,0,0,0,12322]
s[T,D,AA->AB,1(10),23,14,16,12336,12463]
s[R,A,AB->AA,0(9),23,0,0,0,12544]
s[T,D,AA->AB,1(10),24,7,16,12559,12679]
s[R,A,AB->AA,0(9),24,0,0,0,12760]
s[T,D,AA->AB,1(10),25,3,16,12776,12892]
s[R,A,AB->AA,0(9),25,0,0,0,12973]
s[T,D,AA->AB,1(10),26,11,16,12987,13111]
s[R,A,AB->AA,0(9),26,0,0,0,13192]
s[T,D,AA->AB,1(10),27,5,16,13208,13326]
s[R,A,AB->AA,0(9),27,0,0,0,13407]
s[T,D,AA->AB,1(10),28,2,16,13423,13538]
s[R,A,AB->AA,0(9),28,0,0,0,13619]
s[T,D,AA->AB,1(10),29,5,16,13635,13753]
s[R,A,AB->AA,0(9),29,0,0,0,13834]
s[T,D,AA->AB,1(10),30,15,16,13851,13979]
s[R,A,AB->AA,0(9),30,0,0,0,14060]
s[T,D,AA->AB,1(10),31,10,16,14075,14198]
s[R,A,AB->AA,0(9),31,0,0,0,14279]
s[T,D,AA->AB,0(9),32,9,16,14294,14408]
s[R,A,AB->AA,0(9),32,0,0,0,14489]
s[T,D,AA->AB,1(10),33,4,16,14506,14623]
s[R,A,AB->AA,0(9),33,0,0,0,14704]
s[T,D,AA->AB,1(10),34,4,16,14717,14835]
s[R,A,AB->AA,0(9),34,0,0,0,14916]
s[T,D,AA->AB,1(10),35,13,16,14929,15055]
s[R,A,AB->AA,0(9),35,0,0,0,15136]
s[T,D,AA->AB,1(10),36,15,16,15154,15282]
s[R,A,AB->AA,0(9),36,0,0,0,15363]
s[T,D,AA->AB,1(10),37,6,16,15377,15496]
s[R,A,AB->AA,0(9),37,0,0,0,15577]
s[T,D,AA->AB,1(10),38,6,16,15593,15712]
s[R,A,AB->AA,0(9),38,0,0,0,15793]
s[T,D,AA->AB,1(10),39,3,16,15808,15924]
s[R,A,AB->AA,0(9),39,0,0,0,16005]
s[T,D,AA->AB,1(10),40,6,16,16020,16139]
s[R,A,AB->AA,0(9),40,0,0,0,16220]
s[T,D,AA->AB,1(10),41,14,16,16236,16363]
s[R,A,AB->AA,0(9),41,0,0,0,16444]
s[T,D,AA->AB,1(10),42,5,16,16460,16578]
s[R,A,AB->AA,0(9),42,0,0,0,16659]
s[T,D,AA->AB,1(10),43,7,16,16675,16795]
s[R,A,AB->AA,0(9),43,0,0,0,16876]
s[T,D,AA->AB,1(10),44,12,16,16891,17016]
s[R,A,AB->AA,0(9),44,0,0,0,17097]
s[T,D,AA->AB,1(10),45,4,16,17110,17227]
s[R,A,AB->AA,0(9),45,0,0,0,17308]
s[T,D,AA->AB,1(10),46,9,16,17321,17444]
s[R,A,AB->AA,0(9),46,0,0,0,17525]
