s[T,DR,AA->AB,1(10),38,26,64,46a[AA]
s[T,D,AA->AB,180(203),0,0,16,7377,9051]
s[R,A,AB->AA,0(9),0,0,0,0,9132]
s[T,D,AA->AB,180(203),1,0,16,9165,10839]
s[T,DR,AA->AB,180(203),1,16,32,10944,12634]
s[R,A,AB->AA,0(9),1,0,0,0,12715]
s[T,D,AA->AB,180(203),2,4,16,12746,14424]
s[R,A,AB->AA,0(9),2,0,0,0,14505]
s[T,D,AA->AB,180(203),3,1,16,14536,16211]
s[R,A,AB->AA,0(9),3,0,0,0,16292]
s[T,D,AA->AB,180(203),4,0,16,16321,17995]
s[R,A,AB->AA,0(9),4,0,0,0,18076]
s[T,D,AA->AB,180(203),5,5,16,18106,19785]
s[T,DR,AA->AB,180(203),5,25,32,19890,21588]
s[R,A,AB->AA,0(9),5,0,0,0,21669]
s[T,D,AA->AB,180(203),6,11,16,21701,23386]
s[T,DR,AA->AB,180(203),6,3,32,23491,25167]
s[T,DR,AA->AB,180(203),6,19,64,25272,26965]
s[T,DR,AA->AB,180(203),6,119,128,27070,28863]
s[R,A,AB->AA,0(9),6,0,0,0,28944]
s[T,D,AA->AB,180(203),7,14,16,28975,30663]
s[T,DR,AA->AB,180(203),7,8,32,30768,32449]
s[T,DR,AA->AB,180(203),7,4,64,32554,34232]
s[T,DR,AA->AB,180(203),7,25,128,34337,36036]
s[T,DR,AA->AB,180(203),7,114,128,36141,37929]
s[R,A,AB->AA,0(9),7,0,0,0,38010]
s[T,D,AA->AB,180(203),8,5,16,38040,39719]
s[R,A,AB->AA,0(9),8,0,0,0,39800]
s[T,D,AA->AB,180(203),9,11,16,39830,41514]
s[T,DR,AA->AB,180(203),9,15,32,41619,43308]
s[R,A,AB->AA,0(9),9,0,0,0,43389]
s[T,D,AA->AB,180(203),10,0,16,43420,45094]
s[R,A,AB->AA,0(9),10,0,0,0,45175]
s[T,D,AA->AB,180(203),11,15,16,45206,46895]
s[T,DR,AA->AB,180(203),11,19,32,47000,48693]
s[T,DR,AA->AB,180(203),11,59,64,48798,50530]
s[T,DR,AA->AB,180(203),11,77,128,50635,52386]
s[T,DR,AA->AB,180(203),11,120,128,52491,54285]
s[R,A,AB->AA,0(9),11,0,0,0,54366]
s[T,D,AA->AB,180(203),12,3,16,54396,56072]
s[R,A,AB->AA,0(9),12,0,0,0,56153]
s[T,D,AA->AB,180(203),13,4,16,56185,57863]
s[T,DR,AA->AB,180(203),13,14,32,57968,59656]
s[T,DR,AA->AB,180(203),13,15,64,59761,61450]
s[T,DR,AA->AB,180(203),13,13,128,61555,63241]
s[R,A,AB->AA,0(9),13,0,0,0,63322]
s[T,D,AA->AB,180(203),14,12,16,63350,65036]
